Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
0001.HK,Industrials,37.18,0.013482213329019352
0002.HK,Utilities,29.22,0.007142805384916913
0003.HK,Utilities,21.88,0.00976042896937159
0004.HK,Real Estate,21.94,0.019423242241610086
0005.HK,Financial Services,23.04,0.014950035482179649
0006.HK,Utilities,36.27,0.008873805260063799
0010.HK,Real Estate,15.41,0.013589559453576842
0011.HK,Financial Services,23.19,0.011168175082292125
0012.HK,Real Estate,22.21,0.015802909385177227
0016.HK,Real Estate,18.06,0.0139897800298162
0017.HK,Real Estate,14.45,0.015110013053723068
0019.HK,Industrials,36.87,0.019630143524949545
0023.HK,Financial Services,24.57,0.016117378736733145
0027.HK,Consumer Cyclical,27.35,0.027719356328372267
0066.HK,Industrials,21.06,0.009576064537291956
0083.HK,Real Estate,14.35,0.016111619914722167
0101.HK,Real Estate,16.61,0.015995630309988188
0135.HK,Energy,30.33,0.022031510201028157
0144.HK,Industrials,17.58,0.021982208562141243
0151.HK,Consumer Defensive,39.71,0.01465124856444738
0168.HK,Consumer Defensive,29.92,0.02514005756799951
0175.HK,Consumer Cyclical,24.03,0.03331278356087981
0177.HK,Industrials,13.0,0.014499586763577887
0257.HK,Industrials,23.25,0.025601794095668207
0267.HK,Industrials,52.21,0.016632089452886606
0270.HK,Utilities,30.85,0.01627176892660002
0288.HK,Consumer Defensive,37.04,0.022346808264289253
0291.HK,Consumer Defensive,29.9,0.023357136527404745
0293.HK,Industrials,38.62,0.018014595827955986
0317.HK,Industrials,38.73,0.030460695750371806
0322.HK,Consumer Defensive,31.01,0.018505802578252392
0338.HK,Energy,29.2,0.022459827873809592
0347.HK,Basic Materials,45.13,0.038276483119574094
0358.HK,Basic Materials,54.48,0.03512848227174116
0371.HK,Utilities,41.25,0.01604227632295981
0384.HK,Utilities,35.04,0.028217367158301938
0386.HK,Energy,52.45,0.019197017049715208
0388.HK,Financial Services,15.11,0.020611532608578828
0390.HK,Industrials,45.71,0.0163715838520139
0392.HK,Industrials,39.59,0.016834493090950906
0489.HK,Consumer Cyclical,21.08,0.02340851027961458
0525.HK,Industrials,30.75,0.016348335160092115
0551.HK,Consumer Cyclical,19.69,0.02248217327156567
0656.HK,Industrials,41.9,0.019838676806222415
0659.HK,Industrials,31.97,0.015293605183150483
0669.HK,Industrials,22.77,0.02555377002630212
0670.HK,Industrials,28.47,0.020217544056384724
0688.HK,Real Estate,16.97,0.020460167752647758
0696.HK,Technology,22.28,0.025196952313960755
0700.HK,Communication Services,22.9,0.026353406584562172
0728.HK,Communication Services,28.57,0.023360631881310573
0753.HK,Industrials,29.85,0.02114820168472292
0762.HK,Communication Services,29.57,0.0167969061959691
0763.HK,Technology,18.57,0.027800463076508245
0836.HK,Utilities,45.84,0.0325512301454777
0857.HK,Energy,53.86,0.022463064502901905
