Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
0700.HK,Communication Services,19.25,0.022396527008950604
0728.HK,Communication Services,31.29,0.017377876024355317
0753.HK,Industrials,27.23,0.019035368967247477
0762.HK,Communication Services,31.43,0.02014828155319506
0763.HK,Technology,19.96,0.02864110405566114
0836.HK,Utilities,44.36,0.019138713824943906
0857.HK,Energy,54.44,0.01845110171214851
0883.HK,Energy,42.48,0.01711088720969033
0902.HK,Utilities,47.53,0.023333561890976576
0914.HK,Basic Materials,32.49,0.02008948433302219
0916.HK,Utilities,38.31,0.02386656403648369
0939.HK,Financial Services,29.11,0.012568138167106807
0941.HK,Communication Services,26.72,0.012120166114141764
0945.HK,Financial Services,18.08,0.01110254331594908
0960.HK,Real Estate,15.22,0.039788869260776794
0966.HK,Financial Services,28.82,0.022817953092341265
0981.HK,Technology,32.31,0.02758078077371973
0992.HK,Technology,17.72,0.02753807975155935
0998.HK,Financial Services,33.49,0.013175196362057738
1033.HK,Energy,35.66,0.021437000924701795
1038.HK,Utilities,37.88,0.013321149572622601
1044.HK,Consumer Defensive,29.8,0.013794836494881332
1055.HK,Industrials,28.33,0.02041630111413677
1071.HK,Utilities,49.7,0.02268173456238293
1088.HK,Energy,42.59,0.014480622283784888
1093.HK,Healthcare,33.97,0.02121949654606789
1099.HK,Healthcare,17.63,0.021824100980133272
1109.HK,Real Estate,21.67,0.023914919427572696
1113.HK,Real Estate,17.33,0.012283003874843742
1114.HK,Consumer Cyclical,37.55,0.029946744023792618
1128.HK,Consumer Cyclical,27.94,0.026089809791239052
1171.HK,Energy,54.18,0.02629771341629767
1177.HK,Healthcare,31.73,0.023569705557509618
1186.HK,Industrials,59.71,0.02138248900021719
1193.HK,Utilities,30.65,0.02227127296239582
1211.HK,Consumer Cyclical,26.69,0.022411342384679643
1288.HK,Financial Services,29.55,0.013429820732112688
1299.HK,Financial Services,12.98,0.01762259387674976
1336.HK,Financial Services,24.89,0.0224893635449037
1339.HK,Financial Services,31.43,0.015420436056788738
1359.HK,Financial Services,33.6,0.019438823578089914
1398.HK,Financial Services,30.55,0.013427272254363829
1576.HK,Industrials,39.87,0.013249875504678012
1618.HK,Industrials,54.84,0.021243258746217963
1766.HK,Industrials,37.5,0.01848641335023615
1800.HK,Industrials,59.95,0.02003501784482527
1816.HK,Utilities,30.61,0.012571229205577746
1898.HK,Energy,56.33,0.019153440992581646
1919.HK,Industrials,25.44,0.018993734908859236
1928.HK,Consumer Cyclical,18.93,0.02322986958498523
1972.HK,Real Estate,10.81,0.015499373442580162
1988.HK,Financial Services,29.82,0.016570259606949928
2018.HK,Technology,17.2,0.028270274774901644
2020.HK,Consumer Cyclical,17.08,0.024094773472169467
2039.HK,Industrials,41.53,0.020078140482722873
2066.HK,Financial Services,28.99,0.034011220744350285
2196.HK,Healthcare,39.07,0.016165752702001893
2202.HK,Real Estate,17.11,0.02445799226018435
2238.HK,Consumer Cyclical,32.37,0.017651501938306606
2282.HK,Consumer Cyclical,25.59,0.02839316150936308
2313.HK,Consumer Cyclical,16.37,0.02683640111529068
2318.HK,Financial Services,17.8,0.023634993603244704
2319.HK,Consumer Defensive,30.19,0.02164213120271682
2328.HK,Financial Services,29.01,0.01861946790976625
2333.HK,Consumer Cyclical,29.01,0.029270397595113316
2338.HK,Consumer Cyclical,34.62,0.022359434962167152
2378.HK,Financial Services,17.96,0.021185593502529677
2388.HK,Financial Services,23.26,0.012014100096700637
2600.HK,Basic Materials,49.64,0.02660701126858133
2601.HK,Financial Services,26.94,0.02487316896660802
2607.HK,Healthcare,16.38,0.01536575428611448
2628.HK,Financial Services,25.41,0.022272920675777696
2638.HK,Utilities,24.82,0.009897300237574614
2688.HK,Utilities,26.68,0.027342108342845665
2689.HK,Basic Materials,30.61,0.022702396684189247
2727.HK,Industrials,27.54,0.01651095166443483
2799.HK,Financial Services,36.92,0.024387353237919865
2866.HK,Industrials,23.71,0.012761413800000433
2883.HK,Energy,26.3,0.019040170602767637
2888.HK,Financial Services,25.72,0.018574607310834733
2899.HK,Basic Materials,43.06,0.02353060341820199
3311.HK,Industrials,37.8,0.01813703001566724
3328.HK,Financial Services,32.38,0.01383659439857877
3618.HK,Financial Services,26.75,0.011205286220078698
3898.HK,Industrials,29.96,0.022205794051020192
3968.HK,Financial Services,29.78,0.022334887007024424
3988.HK,Financial Services,29.05,0.01138239027665833
6030.HK,Financial Services,29.8,0.020656483028511904
6808.HK,Consumer Cyclical,25.64,0.03726734893043583
6818.HK,Financial Services,32.0,0.011548620235221543
6823.HK,Communication Services,25.8,0.009906796259817809
6837.HK,Financial Services,29.13,0.016623192235685588
6881.HK,Financial Services,30.4,0.019464933635994268
6886.HK,Financial Services,27.02,0.018643269106428575
9618.HK,Consumer Cyclical,25.36,0.028789853957953377
9888.HK,Communication Services,20.08,0.030903966961228675
9901.HK,Consumer Defensive,15.04,0.03489929260676386
9961.HK,Consumer Cyclical,23.53,0.02436725306900837
9988.HK,Consumer Cyclical,26.53,0.025819780134652692
9999.HK,Communication Services,17.74,0.02989890746277769
