Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
0001.HK,Industrials,26.92,0.01242137252966341
0002.HK,Utilities,23.68,0.011282602691866282
0003.HK,Utilities,20.79,0.012849220923175574
0004.HK,Real Estate,19.21,0.018407446922100838
0005.HK,Financial Services,25.47,0.013409595791814633
0006.HK,Utilities,33.95,0.011142442053881546
0010.HK,Real Estate,17.22,0.014445178908267041
0011.HK,Financial Services,18.02,0.013544379182980413
0012.HK,Real Estate,17.08,0.01657479854518844
0016.HK,Real Estate,16.24,0.014842032360198735
0017.HK,Real Estate,15.81,0.02043288522504799
0019.HK,Industrials,34.46,0.019956336176558426
0020.HK,Technology,16.49,0.036257817794241254
0023.HK,Financial Services,20.56,0.016710001496674044
0027.HK,Consumer Cyclical,27.02,0.019132031461841312
0066.HK,Industrials,20.56,0.011823530556939658
0083.HK,Real Estate,12.28,0.014556506087071914
0101.HK,Real Estate,15.28,0.018784928645108653
0135.HK,Energy,27.35,0.01949440026229579
0144.HK,Industrials,16.43,0.015281059858163942
0151.HK,Consumer Defensive,35.62,0.014701676911145286
0168.HK,Consumer Defensive,29.9,0.019253709828009814
0175.HK,Consumer Cyclical,17.84,0.02245353246288695
0177.HK,Industrials,12.86,0.014646110089894292
0257.HK,Industrials,22.54,0.015434607415484462
0267.HK,Industrials,51.63,0.01934466580480637
0270.HK,Utilities,30.78,0.016007895268311836
0288.HK,Consumer Defensive,36.44,0.01473419539637913
0291.HK,Consumer Defensive,30.41,0.022888435835896014
0293.HK,Industrials,31.07,0.012343254045754898
0317.HK,Industrials,38.73,0.028647751454825558
0322.HK,Consumer Defensive,33.3,0.018095735682611528
0338.HK,Energy,28.59,0.016373039577679924
0347.HK,Basic Materials,44.37,0.023182065152424054
0358.HK,Basic Materials,52.11,0.02003125571437792
0371.HK,Utilities,36.86,0.017580390204333777
0384.HK,Utilities,28.77,0.020975694897356536
0386.HK,Energy,52.94,0.01713018984053506
0388.HK,Financial Services,17.24,0.017610673838353012
0390.HK,Industrials,50.12,0.02242357599629404
0392.HK,Industrials,34.12,0.015974248602500785
0489.HK,Consumer Cyclical,25.96,0.01938911662994463
0525.HK,Industrials,30.13,0.028466533161705623
0551.HK,Consumer Cyclical,21.1,0.019855723987463787
0656.HK,Industrials,41.51,0.019208526203826605
0659.HK,Industrials,26.7,0.016822439405025997
0669.HK,Industrials,23.01,0.02934775777125906
0670.HK,Industrials,33.8,0.01666241155621521
0688.HK,Real Estate,16.13,0.022827660540368964
0696.HK,Technology,23.93,0.019143711036110463
