Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
1816.HK,Utilities,31.92,0.01752634094215792
1898.HK,Energy,44.85,0.02108572197081023
1919.HK,Industrials,26.63,0.0374587886333002
1928.HK,Consumer Cyclical,19.05,0.025949006345624623
1972.HK,Real Estate,11.89,0.020506856856133977
1988.HK,Financial Services,32.51,0.015511888028197586
2018.HK,Technology,17.75,0.03157553034901521
2020.HK,Consumer Cyclical,17.97,0.03217028394146574
2039.HK,Industrials,51.89,0.029999828695207502
2066.HK,Financial Services,50.44,0.013352710770855758
2196.HK,Healthcare,39.24,0.03274576394507408
2202.HK,Real Estate,20.52,0.023332302135509735
2238.HK,Consumer Cyclical,29.37,0.03179613442436783
2282.HK,Consumer Cyclical,22.85,0.02839775992082302
2313.HK,Consumer Cyclical,17.63,0.02694581815887106
2318.HK,Financial Services,25.53,0.014577125798027182
2319.HK,Consumer Defensive,38.62,0.02306785433270518
2328.HK,Financial Services,30.11,0.023358349664233304
2333.HK,Consumer Cyclical,26.63,0.03590634812792842
2338.HK,Consumer Cyclical,38.6,0.027420562395318464
2378.HK,Financial Services,22.4,0.032832268387531054
2388.HK,Financial Services,23.44,0.01676063745557731
2600.HK,Basic Materials,53.47,0.031765874887107824
2601.HK,Financial Services,27.95,0.025764249696092163
2607.HK,Healthcare,18.35,0.023049195146370535
2628.HK,Financial Services,29.29,0.026405386591088525
2638.HK,Utilities,28.66,0.008504797507424564
2688.HK,Utilities,38.82,0.023188231983006315
2689.HK,Basic Materials,27.87,0.029036859035292087
2727.HK,Industrials,34.97,0.02375659183978202
2799.HK,Financial Services,33.04,0.02750204743386929
2866.HK,Industrials,24.64,0.032993766975492646
2883.HK,Energy,27.04,0.03799668682300281
2888.HK,Financial Services,28.69,0.026689589857325346
2899.HK,Basic Materials,60.75,0.03448532978301727
3311.HK,Industrials,37.21,0.029015206219440468
3328.HK,Financial Services,31.33,0.01706513518833215
3618.HK,Financial Services,26.54,0.01834653784132508
3898.HK,Industrials,28.94,0.041755676724783794
3968.HK,Financial Services,33.28,0.023107024526227867
3988.HK,Financial Services,32.56,0.014287170207870958
6030.HK,Financial Services,31.91,0.02798943073102448
6808.HK,Consumer Cyclical,24.21,0.02830353836144808
6818.HK,Financial Services,32.34,0.024010090097052128
6823.HK,Communication Services,24.42,0.015050935333593144
6837.HK,Financial Services,32.55,0.027739442375877114
6881.HK,Financial Services,32.96,0.029250922595825846
6886.HK,Financial Services,29.85,0.02431335154283619
9618.HK,Consumer Cyclical,24.81,0.030283762918542543
9988.HK,Consumer Cyclical,24.61,0.02628192037370776
9999.HK,Communication Services,18.03,0.022919903695240416
