Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
0001.HK,Industrials,38.68,0.020968261576125344
0002.HK,Utilities,29.74,0.013221259595780433
0003.HK,Utilities,22.65,0.015189536115194661
0004.HK,Real Estate,14.59,0.02465968806977564
0005.HK,Financial Services,25.14,0.02210569542128417
0006.HK,Utilities,44.45,0.014740811001359874
0010.HK,Real Estate,21.0,0.020128428680486178
0011.HK,Financial Services,21.63,0.017949807009357218
0012.HK,Real Estate,22.04,0.016365901775436145
0016.HK,Real Estate,18.67,0.0166246964885822
0017.HK,Real Estate,16.6,0.019810451419840246
0019.HK,Industrials,38.2,0.02477306442120286
0023.HK,Financial Services,26.51,0.024783439084652924
0027.HK,Consumer Cyclical,26.12,0.02699440224712104
0066.HK,Industrials,20.6,0.015395510875526704
0083.HK,Real Estate,18.77,0.020004110635150514
0101.HK,Real Estate,16.55,0.02096086373271842
0135.HK,Energy,35.13,0.035694242023771236
0144.HK,Industrials,18.11,0.02532422789708562
0151.HK,Consumer Defensive,39.47,0.020947719846141927
0168.HK,Consumer Defensive,29.3,0.02820724779580175
0175.HK,Consumer Cyclical,25.08,0.03498285629301413
0177.HK,Industrials,12.64,0.01837782967676706
0257.HK,Industrials,23.59,0.02054842965007258
0267.HK,Industrials,51.73,0.023751848588115708
0270.HK,Utilities,33.79,0.021776303296144415
0288.HK,Consumer Defensive,35.39,0.024357973939471096
0291.HK,Consumer Defensive,30.3,0.02400896487148857
0293.HK,Industrials,39.45,0.02644439578372934
0317.HK,Industrials,44.46,0.05080741626257496
0322.HK,Consumer Defensive,33.55,0.023344514496109144
0338.HK,Energy,31.23,0.025148114368660882
0347.HK,Basic Materials,45.05,0.028992742356926365
0358.HK,Basic Materials,61.43,0.02548730264067108
0371.HK,Utilities,35.82,0.020113438140062407
0384.HK,Utilities,36.24,0.02370971772583066
0386.HK,Energy,51.66,0.022749955979521907
0388.HK,Financial Services,15.27,0.019862857209071688
0390.HK,Industrials,44.74,0.019802599280010384
0392.HK,Industrials,41.19,0.019677898185806023
0489.HK,Consumer Cyclical,21.34,0.03457075394780995
0525.HK,Industrials,33.11,0.019726219651007498
0551.HK,Consumer Cyclical,20.6,0.032409595822423004
0656.HK,Industrials,39.93,0.02076972968022022
0659.HK,Industrials,31.53,0.029673206772801834
0669.HK,Industrials,25.51,0.029689423680264487
0670.HK,Industrials,33.11,0.02640928941945782
0688.HK,Real Estate,20.02,0.021165852428776097
0696.HK,Technology,20.35,0.028417944077307605
0700.HK,Communication Services,24.9,0.023728227173708077
0728.HK,Communication Services,27.79,0.025797996758518852
0753.HK,Industrials,33.77,0.02627538957340502
0762.HK,Communication Services,29.22,0.03449112683218467
0763.HK,Technology,24.18,0.041130981843066745
0836.HK,Utilities,45.12,0.020343306082143603
0857.HK,Energy,57.84,0.025738686278256918
0883.HK,Energy,41.94,0.0314307501249507
0902.HK,Utilities,44.67,0.026936671450888308
0914.HK,Basic Materials,31.63,0.020730783764068218
0916.HK,Utilities,27.7,0.02931004927363138
0939.HK,Financial Services,32.04,0.015927317435250034
0941.HK,Communication Services,20.14,0.020620426613068173
0945.HK,Financial Services,19.35,0.01972073122056132
0960.HK,Real Estate,22.87,0.02304844923071664
0966.HK,Financial Services,29.49,0.028973127996646756
0981.HK,Technology,33.91,0.04981744403789608
0992.HK,Technology,17.36,0.025360756557868944
0998.HK,Financial Services,30.27,0.01745133163566908
1033.HK,Energy,41.96,0.032649050202913324
1038.HK,Utilities,44.69,0.01986618190043683
1044.HK,Consumer Defensive,31.77,0.019163239546686785
1055.HK,Industrials,35.83,0.03039669328398489
1071.HK,Utilities,48.9,0.023232076870217153
1088.HK,Energy,39.31,0.018236218133547404
1093.HK,Healthcare,36.59,0.02567879574395234
1099.HK,Healthcare,17.15,0.024321648005500393
1109.HK,Real Estate,20.94,0.025423983256842107
1113.HK,Real Estate,22.61,0.022444045115194267
1114.HK,Consumer Cyclical,30.94,0.03288824636480274
1128.HK,Consumer Cyclical,21.01,0.028552592179487267
1171.HK,Energy,44.3,0.02306810496275612
1177.HK,Healthcare,40.04,0.025895338962980335
1186.HK,Industrials,47.99,0.02364156152817943
1193.HK,Utilities,36.99,0.021648170845686196
1211.HK,Consumer Cyclical,33.35,0.04632491308544526
1288.HK,Financial Services,31.61,0.01745413135723118
1299.HK,Financial Services,13.63,0.022004415804231004
1336.HK,Financial Services,30.75,0.02851501668346128
1339.HK,Financial Services,31.84,0.022742247208497376
1359.HK,Financial Services,33.79,0.02113055106441957
1398.HK,Financial Services,35.21,0.016651387264167577
1576.HK,Industrials,39.87,0.01694830860423489
1618.HK,Industrials,52.01,0.02118394682904978
1766.HK,Industrials,39.13,0.021107541297240184
1800.HK,Industrials,41.64,0.020107118425542643
