Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
2799.HK,Financial Services,36.83,0.04936434373821339
2866.HK,Industrials,19.26,0.02251226175726564
2883.HK,Energy,27.12,0.027390272775754933
2888.HK,Financial Services,25.95,0.023884457385719673
2899.HK,Basic Materials,56.36,0.032316074157151015
3311.HK,Industrials,37.9,0.02555456863150956
3328.HK,Financial Services,33.79,0.014093695738877487
3618.HK,Financial Services,25.76,0.011813461008719925
3898.HK,Industrials,31.06,0.03786016026578336
3968.HK,Financial Services,32.07,0.03087213188116087
3988.HK,Financial Services,35.09,0.010585629615260031
6030.HK,Financial Services,30.4,0.02302874834940532
6808.HK,Consumer Cyclical,26.3,0.03634903285014824
6818.HK,Financial Services,32.63,0.013417634208553523
6823.HK,Communication Services,26.16,0.009996320413922205
6837.HK,Financial Services,28.97,0.01874584283756095
6881.HK,Financial Services,30.7,0.019870390267837185
6886.HK,Financial Services,27.64,0.019930530942253704
9618.HK,Consumer Cyclical,27.75,0.050374619340194986
9888.HK,Communication Services,20.72,0.044807678210686305
9901.HK,Consumer Defensive,15.6,0.0587368765635292
9961.HK,Consumer Cyclical,24.47,0.050896433217076306
9988.HK,Consumer Cyclical,26.4,0.04561711606906237
9999.HK,Communication Services,14.99,0.037448956389386875
