Ticker,ESG Risk Score,G Score,E Score,S Score
0001.HK,29.22,7.76,12.66,8.8
0002.HK,27.98,6.55,15.05,6.38
0003.HK,21.19,7.41,6.6,7.18
0004.HK,19.37,8.41,4.7,6.26
0005.HK,19.35,6.77,1.16,11.43
0006.HK,33.35,6.95,16.71,9.69
0010.HK,17.23,8.09,4.24,4.9
0011.HK,20.06,8.67,0.78,10.62
0012.HK,19.43,8.66,5.08,5.69
0016.HK,18.3,8.98,3.69,5.63
0017.HK,14.32,7.25,2.59,4.48
0019.HK,36.85,10.04,13.81,13.0
0020.HK,16.49,8.1,2.11,6.27
0023.HK,20.69,10.87,1.91,7.91
0027.HK,28.1,13.5,3.38,11.22
0066.HK,21.56,4.13,8.59,8.84
0083.HK,13.08,6.09,3.05,3.94
0101.HK,15.38,7.61,2.6,5.17
0135.HK,30.94,4.66,11.21,15.07
0144.HK,16.43,7.23,2.66,6.55
0151.HK,39.64,7.23,18.19,14.22
0168.HK,29.97,7.71,10.43,11.83
0175.HK,23.79,8.74,5.66,9.39
0177.HK,12.97,5.67,1.82,5.49
0257.HK,20.89,5.03,10.83,5.03
0267.HK,52.41,12.22,20.9,19.29
0270.HK,30.68,7.43,12.62,10.64
0288.HK,36.08,8.93,15.75,11.4
0291.HK,30.47,7.23,11.39,11.85
0293.HK,33.89,0.0,0.0,0.0
0317.HK,38.73,0.0,0.0,0.0
0322.HK,31.19,7.3,13.67,10.21
0338.HK,28.69,9.05,15.83,3.81
0347.HK,50.09,0.0,0.0,0.0
0358.HK,54.74,12.64,23.28,18.82
0371.HK,39.84,7.67,18.62,13.55
0384.HK,31.4,8.11,10.24,13.05
0386.HK,52.35,13.06,19.74,19.55
0388.HK,17.43,9.15,1.37,6.91
0390.HK,50.66,16.71,13.03,20.91
0392.HK,33.98,7.89,14.74,11.34
0489.HK,20.47,8.36,6.77,5.34
0525.HK,30.13,0.0,0.0,0.0
0551.HK,21.83,0.0,0.0,0.0
0656.HK,41.37,9.01,18.18,14.18
0659.HK,28.77,0.0,0.0,0.0
0669.HK,22.87,5.89,8.91,8.06
0670.HK,28.39,6.74,10.07,11.58
0688.HK,15.95,6.95,3.51,5.49
0696.HK,22.31,8.44,1.19,12.69
0700.HK,22.44,8.43,2.5,11.51
0728.HK,28.57,9.05,7.87,11.65
0753.HK,29.79,6.95,10.41,12.44
0762.HK,29.51,0.0,0.0,0.0
0763.HK,19.47,9.58,1.07,8.81
0836.HK,45.84,8.75,23.49,13.59
0857.HK,55.01,12.94,22.66,19.41
0883.HK,43.29,10.55,22.15,10.59
0902.HK,48.64,8.78,26.1,13.76
0914.HK,31.55,9.72,16.77,5.06
0916.HK,39.49,8.63,18.77,12.09
0939.HK,30.98,12.34,2.3,16.33
0941.HK,24.42,8.09,4.86,11.46
0945.HK,17.33,8.45,1.02,7.86
0960.HK,15.8,7.39,4.41,4.0
0966.HK,27.64,14.56,1.86,11.22
0981.HK,31.38,0.0,0.0,0.0
0992.HK,15.25,7.59,0.17,7.49
0998.HK,31.05,14.92,2.52,13.61
1033.HK,38.55,0.0,0.0,0.0
1038.HK,37.96,7.16,17.78,13.02
1044.HK,29.9,9.83,10.58,9.49
1055.HK,30.84,6.71,11.02,13.11
1071.HK,50.36,9.2,25.82,15.34
1088.HK,35.68,6.6,17.4,11.68
1093.HK,34.01,12.22,3.36,18.43
1099.HK,16.04,7.2,2.85,5.99
1109.HK,20.25,7.85,5.75,6.65
1113.HK,18.81,7.22,5.25,6.34
1114.HK,31.43,9.88,8.52,13.04
1128.HK,21.12,8.58,2.37,10.17
1171.HK,47.84,6.27,25.3,16.26
1177.HK,39.45,14.33,4.6,20.52
1186.HK,47.56,16.65,9.41,21.49
1193.HK,33.69,8.6,10.93,14.16
1211.HK,24.05,10.44,6.33,7.28
1288.HK,29.48,13.57,1.72,14.19
1299.HK,13.16,6.28,0.56,6.32
1336.HK,25.38,12.05,2.55,10.78
1339.HK,32.95,16.65,2.55,13.76
1359.HK,33.49,16.02,2.87,14.6
1398.HK,36.04,15.19,2.35,18.49
1576.HK,39.87,38.82,45.67,45.29
1618.HK,51.7,14.74,16.68,20.28
1766.HK,36.79,10.25,10.28,16.26
1800.HK,50.32,0.0,0.0,0.0
1816.HK,28.72,8.44,12.08,8.21
1898.HK,45.91,0.0,0.0,0.0
1919.HK,26.33,6.97,12.86,6.5
1928.HK,18.19,8.38,2.32,7.5
1972.HK,9.52,5.96,1.58,1.98
1988.HK,30.14,14.27,1.99,13.88
2018.HK,17.28,6.77,7.26,3.25
2020.HK,17.42,7.34,1.62,8.47
2039.HK,46.58,0.0,0.0,0.0
2066.HK,28.99,0.0,0.0,0.0
2196.HK,39.97,14.29,4.62,21.06
2202.HK,19.87,7.67,5.52,6.69
2238.HK,30.48,8.28,8.59,13.6
2282.HK,25.46,0.0,0.0,0.0
2313.HK,16.41,4.92,4.0,7.49
2318.HK,18.25,9.02,1.77,7.46
2319.HK,34.0,6.72,14.56,12.71
2328.HK,29.37,15.29,2.11,11.97
2333.HK,25.53,8.17,6.34,11.02
2338.HK,34.75,9.61,11.25,13.88
2378.HK,15.71,6.51,1.99,7.21
2388.HK,23.28,12.42,1.67,9.18
2600.HK,54.69,13.84,24.08,16.76
2601.HK,26.91,13.45,2.01,11.44
2607.HK,18.5,7.45,3.71,7.35
2628.HK,27.53,13.77,2.92,10.84
2638.HK,23.76,6.26,9.94,7.56
2688.HK,32.74,8.3,11.01,13.43
2689.HK,26.56,6.8,15.04,4.73
2727.HK,28.26,9.51,9.17,9.58
2799.HK,36.83,19.3,2.92,14.61
2866.HK,19.26,0.0,0.0,0.0
2883.HK,27.12,9.77,9.67,7.68
2888.HK,25.95,9.65,0.96,15.34
2899.HK,56.36,11.04,22.99,22.33
3311.HK,37.9,14.62,9.18,14.1
3328.HK,33.79,17.03,2.13,14.63
3618.HK,25.76,12.19,1.89,11.68
3898.HK,31.06,9.51,8.95,12.61
3968.HK,32.07,15.52,2.15,14.39
3988.HK,35.09,14.74,2.74,17.61
6030.HK,30.4,13.92,2.01,14.47
6808.HK,26.3,6.56,9.53,10.22
6818.HK,32.63,15.56,2.24,14.83
6823.HK,26.16,7.71,6.93,11.53
6837.HK,28.97,14.83,2.1,12.03
6881.HK,30.7,15.41,1.94,13.35
6886.HK,27.64,14.02,2.11,11.49
9618.HK,27.75,8.66,8.56,10.53
9888.HK,20.72,8.44,2.99,9.29
9901.HK,15.6,5.1,0.15,10.35
9961.HK,24.47,9.85,4.25,10.37
9988.HK,26.4,11.84,2.97,11.59
9999.HK,14.99,6.46,0.09,8.43
