Ticker,ESG Risk Score,G Score,E Score,S Score
0001.HK,26.92,6.88,12.04,8.0
0002.HK,23.68,6.77,11.16,5.75
0003.HK,20.79,7.23,6.38,7.18
0004.HK,19.21,8.24,4.7,6.26
0005.HK,25.47,9.27,1.44,14.75
0006.HK,33.95,6.84,17.29,9.82
0010.HK,17.22,8.1,4.22,4.9
0011.HK,18.02,7.92,0.64,9.45
0012.HK,17.08,7.3,4.2,5.57
0016.HK,16.24,8.24,4.08,3.93
0017.HK,15.81,8.04,3.09,4.68
0019.HK,34.46,9.79,11.92,12.76
0020.HK,16.49,8.1,2.11,6.27
0023.HK,20.56,10.96,2.29,7.31
0027.HK,27.02,13.0,3.49,10.53
0066.HK,20.56,4.3,7.59,8.66
0083.HK,12.28,5.72,1.53,5.03
0101.HK,15.28,7.51,2.6,5.17
0135.HK,27.35,4.69,9.11,13.55
0144.HK,16.43,7.23,2.66,6.55
0151.HK,35.62,6.69,16.36,12.58
0168.HK,29.9,7.76,10.24,11.89
0175.HK,17.84,6.49,5.38,5.97
0177.HK,12.86,5.56,1.82,5.49
0257.HK,22.54,5.03,11.31,6.2
0267.HK,51.63,12.53,20.91,18.19
0270.HK,30.78,7.47,12.67,10.64
0288.HK,36.44,8.93,16.11,11.4
0291.HK,30.41,7.0,11.48,11.93
0293.HK,31.07,0.0,0.0,0.0
0317.HK,38.73,0.0,0.0,0.0
0322.HK,33.3,7.36,14.52,11.41
0338.HK,28.59,7.51,16.52,4.55
0347.HK,44.37,0.0,0.0,0.0
0358.HK,52.11,12.88,20.37,18.87
0371.HK,36.86,8.45,16.75,11.66
0384.HK,28.77,8.45,9.0,11.31
0386.HK,52.94,11.94,25.34,15.65
0388.HK,17.24,8.96,1.37,6.92
0390.HK,50.12,16.54,12.67,20.91
0392.HK,34.12,8.1,13.61,12.4
0489.HK,25.96,8.51,8.45,9.01
0525.HK,30.13,0.0,0.0,0.0
0551.HK,21.1,0.0,0.0,0.0
0656.HK,41.51,8.99,18.33,14.18
0659.HK,26.7,0.0,0.0,0.0
0669.HK,23.01,6.0,8.78,8.23
0670.HK,33.8,6.8,10.54,16.46
0688.HK,16.13,7.12,3.51,5.49
0696.HK,23.93,8.04,4.0,11.89
0700.HK,19.25,7.12,2.37,9.77
0728.HK,31.29,8.55,8.67,14.06
0753.HK,27.23,6.72,9.32,11.18
0762.HK,31.43,0.0,0.0,0.0
0763.HK,19.96,9.49,1.65,8.81
0836.HK,44.36,7.63,23.87,12.86
0857.HK,54.44,12.56,24.29,17.6
0883.HK,42.48,0.0,0.0,0.0
0902.HK,47.53,8.78,25.0,13.76
0914.HK,32.49,9.17,15.88,7.44
0916.HK,38.31,8.35,16.66,13.3
0939.HK,29.11,12.12,2.06,14.93
0941.HK,26.72,8.23,6.4,12.09
0945.HK,18.08,8.33,0.94,8.81
0960.HK,15.22,6.81,4.41,4.0
0966.HK,28.82,13.65,1.75,13.41
0981.HK,32.31,0.0,0.0,0.0
0992.HK,17.72,7.78,0.22,9.72
0998.HK,33.49,16.32,2.58,14.59
1033.HK,35.66,0.0,0.0,0.0
1038.HK,37.88,7.26,17.61,13.02
1044.HK,29.8,9.46,10.94,9.39
1055.HK,28.33,6.35,9.94,12.03
1071.HK,49.7,8.91,25.52,15.27
1088.HK,42.59,6.63,25.15,10.81
1093.HK,33.97,11.94,3.6,18.43
1099.HK,17.63,8.23,2.48,6.93
1109.HK,21.67,7.41,6.0,8.25
1113.HK,17.33,6.37,5.17,5.79
1114.HK,37.55,10.62,12.06,14.87
1128.HK,27.94,0.0,0.0,0.0
1171.HK,54.18,6.28,34.09,13.81
1177.HK,31.73,11.63,3.47,16.65
1186.HK,59.71,0.0,0.0,0.0
1193.HK,30.65,8.72,9.79,12.14
1211.HK,26.69,10.29,8.79,7.61
1288.HK,29.55,13.64,2.02,13.89
1299.HK,12.98,6.33,0.56,6.09
1336.HK,24.89,12.59,1.59,10.72
1339.HK,31.43,15.29,2.25,13.89
1359.HK,33.6,16.88,3.12,13.6
1398.HK,30.55,12.95,2.14,15.46
1576.HK,39.87,38.82,45.67,45.29
1618.HK,54.84,15.76,19.81,19.28
1766.HK,37.5,10.4,10.58,16.52
1800.HK,59.95,0.0,0.0,0.0
1816.HK,30.61,8.31,14.46,7.84
1898.HK,56.33,7.44,33.23,15.66
1919.HK,25.44,6.67,12.58,6.19
1928.HK,18.93,8.49,2.94,7.5
1972.HK,10.81,6.16,2.29,2.36
1988.HK,29.82,14.16,2.37,13.29
2018.HK,17.2,6.77,7.19,3.25
2020.HK,17.08,6.23,1.65,9.2
2039.HK,41.53,0.0,0.0,0.0
2066.HK,28.99,0.0,0.0,0.0
2196.HK,39.07,13.15,4.79,21.12
2202.HK,17.11,7.01,4.24,5.85
2238.HK,32.37,8.08,9.76,14.53
2282.HK,25.59,0.0,0.0,0.0
2313.HK,16.37,5.15,3.89,7.33
2318.HK,17.8,8.56,1.77,7.46
2319.HK,30.19,6.58,14.18,9.43
2328.HK,29.01,14.93,2.11,11.97
2333.HK,29.01,8.43,8.05,12.52
2338.HK,34.62,9.61,11.12,13.88
2378.HK,17.96,6.67,2.14,9.16
2388.HK,23.26,13.34,1.39,8.54
2600.HK,49.64,11.73,21.76,16.15
2601.HK,26.94,13.77,1.72,11.44
