Ticker,ESG Risk Score,G Score,E Score,S Score
1972.HK,11.89,6.4,1.63,3.86
1988.HK,32.51,16.29,2.07,14.15
2018.HK,17.75,7.26,7.69,2.81
2020.HK,17.97,7.53,4.79,5.65
2039.HK,51.89,12.15,20.92,18.82
2066.HK,50.44,48.56,45.25,57.51
2196.HK,39.24,15.17,1.54,22.53
2202.HK,20.52,8.33,5.21,6.98
2238.HK,29.37,8.25,8.07,13.05
2282.HK,22.85,10.29,2.71,9.86
2313.HK,17.63,5.38,4.11,8.14
2318.HK,25.53,15.71,1.79,8.03
2319.HK,38.62,7.45,15.15,16.01
2328.HK,30.11,17.01,1.87,11.22
2333.HK,26.63,8.32,6.68,11.63
2338.HK,38.6,9.48,12.5,16.62
2378.HK,22.4,9.81,2.11,10.48
2388.HK,23.44,12.92,1.78,8.75
2600.HK,53.47,13.66,23.59,16.22
2601.HK,27.95,16.19,1.78,9.98
2607.HK,18.35,7.91,3.58,6.86
2628.HK,29.29,14.76,2.95,11.58
2638.HK,28.66,7.54,13.81,7.31
2688.HK,38.82,8.65,15.03,15.14
2689.HK,27.87,6.85,16.85,4.18
2727.HK,34.97,10.7,9.71,14.56
2799.HK,33.04,16.43,2.9,13.71
2866.HK,24.64,6.74,11.58,6.33
2883.HK,27.04,10.58,9.29,7.18
2888.HK,28.69,12.87,1.53,14.28
2899.HK,60.75,10.54,23.3,26.91
3311.HK,37.21,12.88,7.99,16.34
3328.HK,31.33,15.44,2.24,13.65
3618.HK,26.54,12.26,2.04,12.24
3898.HK,28.94,9.3,7.12,12.51
3968.HK,33.28,16.41,2.02,14.85
3988.HK,32.56,14.19,2.5,15.87
6030.HK,31.91,15.62,2.16,14.14
6808.HK,24.21,6.96,7.67,9.58
6818.HK,32.34,16.24,2.01,14.09
6823.HK,24.42,7.85,5.46,11.11
6837.HK,32.55,15.77,2.61,14.17
6881.HK,32.96,15.76,1.91,15.29
6886.HK,29.85,14.56,2.34,12.94
9618.HK,24.81,8.6,7.06,9.14
9988.HK,24.61,10.07,2.34,12.2
9999.HK,18.03,6.9,0.14,10.99
