Ticker,ESG Risk Score,G Score,E Score,S Score
0001.HK,38.68,8.8,14.87,15.0
0002.HK,29.74,6.58,13.93,9.23
0003.HK,22.65,7.25,8.65,6.75
0004.HK,14.59,7.18,1.72,5.69
0005.HK,25.14,7.56,2.32,15.27
0006.HK,44.45,8.54,23.15,12.76
0010.HK,21.0,9.79,3.76,7.46
0011.HK,21.63,10.5,1.24,9.89
0012.HK,22.04,10.14,4.46,7.45
0016.HK,18.67,8.4,4.16,6.1
0017.HK,16.6,9.27,1.93,5.39
0019.HK,38.2,11.01,13.37,13.82
0020.HK,16.49,8.1,2.11,6.27
0023.HK,26.51,13.65,2.12,10.74
0027.HK,26.12,13.07,2.98,10.08
0066.HK,20.6,4.28,6.63,9.68
0083.HK,18.77,7.57,4.95,6.25
0101.HK,16.55,7.76,3.12,5.66
0135.HK,35.13,4.87,14.75,15.51
0144.HK,18.11,7.68,3.11,7.32
0151.HK,39.47,7.49,15.26,16.72
0168.HK,29.3,8.13,9.3,11.87
0175.HK,25.08,8.91,6.47,9.7
0177.HK,12.64,5.86,1.59,5.19
0257.HK,23.59,5.38,11.98,6.22
0267.HK,51.73,12.94,20.47,18.32
0270.HK,33.79,7.47,14.93,11.39
0288.HK,35.39,7.63,14.58,13.18
0291.HK,30.3,7.82,9.64,12.84
0293.HK,39.45,0.0,0.0,0.0
0317.HK,44.46,0.0,0.0,0.0
0322.HK,33.55,7.27,14.54,11.74
0338.HK,31.23,9.46,18.12,3.64
0347.HK,45.05,11.51,20.5,13.04
0358.HK,61.43,14.07,26.16,21.21
0371.HK,35.82,8.75,13.51,13.56
0384.HK,36.24,8.72,12.28,15.25
0386.HK,51.66,12.43,20.0,19.23
0388.HK,15.27,8.47,1.32,5.49
0390.HK,44.74,15.56,8.98,20.2
0392.HK,41.19,11.25,17.52,12.42
0489.HK,21.34,8.99,6.56,5.79
0525.HK,33.11,5.23,13.17,14.71
0551.HK,20.6,7.83,6.0,6.78
0656.HK,39.93,10.67,15.51,13.75
0659.HK,31.53,11.76,5.81,13.96
0669.HK,25.51,6.11,9.7,9.69
0670.HK,33.11,7.53,11.62,13.96
0688.HK,20.02,7.9,5.87,6.26
0696.HK,20.35,8.07,0.09,12.19
0700.HK,24.9,9.13,2.6,13.17
0728.HK,27.79,8.62,7.88,11.28
0753.HK,33.77,6.76,10.38,16.63
0762.HK,29.22,8.45,7.05,13.71
0763.HK,24.18,13.36,2.67,8.16
0836.HK,45.12,9.32,25.08,10.71
0857.HK,57.84,13.35,25.03,19.46
0883.HK,41.94,10.83,20.22,10.9
0902.HK,44.67,8.34,23.48,12.85
0914.HK,31.63,10.16,16.23,5.25
0916.HK,27.7,7.78,4.64,15.28
0939.HK,32.04,13.55,2.38,16.11
0941.HK,20.14,7.41,3.37,9.36
0945.HK,19.35,10.07,1.74,7.54
0960.HK,22.87,8.02,7.79,7.06
0966.HK,29.49,15.97,1.9,11.62
0981.HK,33.91,9.3,16.79,7.83
0992.HK,17.36,7.88,0.77,8.71
0998.HK,30.27,14.34,2.56,13.37
1033.HK,41.96,0.0,0.0,0.0
1038.HK,44.69,9.42,21.11,14.16
1044.HK,31.77,9.76,13.35,8.67
1055.HK,35.83,6.51,11.75,17.57
1071.HK,48.9,9.16,26.25,13.48
1088.HK,39.31,7.33,18.87,13.11
1093.HK,36.59,14.6,1.51,20.47
1099.HK,17.15,7.42,3.85,5.88
1109.HK,20.94,8.45,5.23,7.27
1113.HK,22.61,8.89,5.63,8.09
1114.HK,30.94,9.35,8.74,12.85
1128.HK,21.01,9.38,1.85,9.78
1171.HK,44.3,7.57,20.46,16.26
1177.HK,40.04,15.38,2.47,22.19
1186.HK,47.99,16.85,9.48,21.67
1193.HK,36.99,9.51,13.27,14.21
1211.HK,33.35,9.38,7.21,16.76
1288.HK,31.61,14.75,1.87,14.99
1299.HK,13.63,7.24,0.44,5.95
1336.HK,30.75,15.71,2.67,12.37
1339.HK,31.84,17.5,2.21,12.12
1359.HK,33.79,16.26,2.87,14.67
1398.HK,35.21,15.54,2.35,17.31
1576.HK,39.87,38.82,45.67,45.29
1618.HK,52.01,15.21,16.56,20.23
1766.HK,39.13,10.42,11.95,16.76
1800.HK,41.64,14.81,8.69,18.14
1816.HK,31.92,8.83,14.98,8.11
1898.HK,44.85,7.88,21.61,15.35
1919.HK,26.63,7.18,11.92,7.53
1928.HK,19.05,9.39,1.77,7.9
